total_population,median_income,unemployed,labor_force,housing_units,state_name,state,year,data_source,unemployment_rate
11675275,58116,313829,5927187,4717226,Ohio,39,2020,ACS_5yr_2020,5.294737622
3949342,53840,95441,1893873,1493569,Oklahoma,40,2020,ACS_5yr_2020,5.039461463
4176346,65667,116297,2134435,1642579,Oregon,41,2020,ACS_5yr_2020,5.44860818
12794885,63627,351248,6566126,5106601,Pennsylvania,42,2020,ACS_5yr_2020,5.349394757
3255642,21058,182171,1210925,1205749,Puerto Rico,72,2020,ACS_5yr_2020,15.043954
1057798,70305,31263,570567,414730,Rhode Island,44,2020,ACS_5yr_2020,5.479286394
5091517,54864,135484,2484102,1961481,South Carolina,45,2020,ACS_5yr_2020,5.454043352
879336,59896,16281,466573,347878,South Dakota,46,2020,ACS_5yr_2020,3.489486104
6772268,54833,177361,3343918,2639455,Tennessee,47,2020,ACS_5yr_2020,5.303987717
28635442,63826,752884,14309066,9906070,Texas,48,2020,ACS_5yr_2020,5.261587304
3151239,74197,57829,1600462,1003345,Utah,49,2020,ACS_5yr_2020,3.613269169
624340,63477,12845,342240,262852,Vermont,50,2020,ACS_5yr_2020,3.753214119
8509358,76398,202745,4508686,3184121,Virginia,51,2020,ACS_5yr_2020,4.496764689
7512465,77006,188562,3904996,2905822,Washington,53,2020,ACS_5yr_2020,4.828737341
1807426,48037,52031,798208,734235,West Virginia,54,2020,ACS_5yr_2020,6.518476387
5806975,63293,109854,3096518,2377935,Wisconsin,55,2020,ACS_5yr_2020,3.547662245
581348,65304,13222,303956,233231,Wyoming,56,2020,ACS_5yr_2020,4.349971706
4997675,54943,124416,2313616,1902983,Alabama,1,2021,ACS_5yr_2021,5.377556172
735951,80287,25054,383795,260561,Alaska,2,2021,ACS_5yr_2021,6.527964148
7079203,65913,191115,3424193,2683557,Arizona,4,2021,ACS_5yr_2021,5.581315072
3006309,52123,73733,1390373,1158460,Arkansas,5,2021,ACS_5yr_2021,5.30310931
39455353,84097,1303741,20129162,13217586,California,6,2021,ACS_5yr_2021,6.476876683
5723176,80184,145038,3157660,2227932,Colorado,8,2021,ACS_5yr_2021,4.593211429
3605330,83572,117631,1950007,1397324,Connecticut,9,2021,ACS_5yr_2021,6.03233732
981892,72724,27993,496804,381097,Delaware,10,2021,ACS_5yr_2021,5.634616468
683154,93547,28493,405651,310104,District of Columbia,11,2021,ACS_5yr_2021,7.024018183
21339762,61777,552125,10448290,8157420,Florida,12,2021,ACS_5yr_2021,5.284357536
10625615,65030,290843,5329864,3885371,Georgia,13,2021,ACS_5yr_2021,5.456855935
1453498,88005,37152,764801,478413,Hawaii,15,2021,ACS_5yr_2021,4.857734234
1811617,63377,35633,887977,657101,Idaho,16,2021,ACS_5yr_2021,4.012829161
12821813,72563,413041,6705184,4930255,Illinois,17,2021,ACS_5yr_2021,6.16002484
6751340,61944,160490,3416171,2622601,Indiana,18,2021,ACS_5yr_2021,4.697949839
3179090,65429,65900,1689338,1275893,Iowa,19,2021,ACS_5yr_2021,3.900936343
2932099,64521,61847,1530430,1139738,Kansas,20,2021,ACS_5yr_2021,4.041151833
4494141,55454,112695,2135988,1748475,Kentucky,21,2021,ACS_5yr_2021,5.276012787
4657305,53571,146299,2179709,1748688,Louisiana,22,2021,ACS_5yr_2021,6.711859244
1357046,63182,30163,713221,571064,Maine,23,2021,ACS_5yr_2021,4.229123932
6148545,91431,175507,3330279,2294270,Maryland,24,2021,ACS_5yr_2021,5.270038937
6991852,89026,209959,3882484,2714448,Massachusetts,25,2021,ACS_5yr_2021,5.407852293
10062512,63202,310551,5007906,3976729,Michigan,26,2021,ACS_5yr_2021,6.201214639
5670472,77706,125307,3109813,2229100,Minnesota,27,2021,ACS_5yr_2021,4.02940627
2967023,49111,91177,1345038,1108670,Mississippi,28,2021,ACS_5yr_2021,6.778767589
6141534,61043,138820,3104195,2433819,Missouri,29,2021,ACS_5yr_2021,4.472012873
1077978,60560,22303,552144,436481,Montana,30,2021,ACS_5yr_2021,4.039344809
1951480,66644,34474,1052366,766887,Nebraska,31,2021,ACS_5yr_2021,3.275856499
3059238,65686,109512,1549597,1141952,Nevada,32,2021,ACS_5yr_2021,7.067127776
1372175,83449,28947,769793,540498,New Hampshire,33,2021,ACS_5yr_2021,3.760361552
9234024,89703,304973,4905036,3397156,New Jersey,34,2021,ACS_5yr_2021,6.217548658
2109366,54020,63136,964460,797596,New Mexico,35,2021,ACS_5yr_2021,6.546253862
20114745,75157,642913,10331727,7530150,New York,36,2021,ACS_5yr_2021,6.222706039
